Kabupaten/Kota,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kilogram) (Kg),Produksi Jamur Merang (kilogram) (Kg),Produksi Jamur Lainnya (kilogram) (Kg)
Ogan Komering Ulu,0,673,,260,,813,2096,482,425,,191,,,,,1885,304,,,1336,,,
Ogan Komering Ilir,1905,358,,1034,1212,12699,4377,8665,549,,15797,,1323,,2179,11447,5445,,5861,11999,6,,
Muara Enim,6908,2310,95,3957,10654,17485,10976,13886,5810,11561,33877,22150,14510,,6728,42152,44854,,,41570,17,,
Lahat,8748,3,,1411,7025,2809,6072,3758,25,8,8514,13740,4446,8,18253,13574,11075,14855,4251,2425,,,
Musi Rawas,32,940,,6189,,7073,14393,9070,,,11201,,,,,12110,2781,,8980,13850,,,
Musi Banyuasin,437,280,,3539,1238,5894,8685,4453,,,4481,,52,,1353,8447,3873,,3118,7446,,,11160
Banyu Asin,56,44,,2666,124,3429,6429,4576,46,,6395,,427,,292,6317,2650,,1516,5371,459,,1
Ogan Komering Ulu Selatan,620,425,,94,268,3759,84,280,,,178,,60,,914,666,1405,,3320,2516,,,
Ogan Komering Ulu Timur,4322,1195,,5739,485,1557,3975,5938,817,,2659,,70,1,616,5019,220,,2052,9663,1030,,352
Ogan Ilir,,43,,1343,,7584,5416,1184,,,4414,,,,,5755,245,,,12918,,,
Empat Lawang,2,,,,19,1589,105,10,,,32,,7,,,508,204,,104,1282,,,
Penukal Abab Lematang Ilir,,,,581,,435,518,699,,,578,,,,,501,149,,354,184,4,,
Musi Rawas Utara,,393,,189,,811,172,148,,,68,,,,,224,37,,25,1468,,,
Kota Palembang,,,,644,163,71,126,1181,,,278,,,,1797,89,12,,15,85,6,,
Kota Prabumulih,0,,,2606,430,758,1442,2179,,,1196,,,,1417,1494,365,,374,716,0,,
Kota Pagar Alam,7192,5240,400,,7850,10815,3425,800,305,2668,4930,13305,6310,,7375,13051,14100,4570,,9650,1,,
Kota Lubuklinggau,,66,,177,24,75,203,217,,,64,,,,1,402,96,,146,107,113,,
Sumatera Selatan,30223,11970,495,30428,29492,77655,68492,57524,7977,14237,94853,49195,27205,9,40925,123641,87814,19425,30116,122586,1635,,11512
,,,,,,,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,,,,,,,,